DATE,HOUST
2019-01-01,1226
2019-02-01,1121
2019-03-01,1191
2019-04-01,1272
2019-05-01,1293
2019-06-01,1243
2019-07-01,1240
2019-08-01,1375
2019-09-01,1311
2019-10-01,1325
2019-11-01,1353
2019-12-01,1548
2020-01-01,1581
2020-02-01,1549
2020-03-01,1266
2020-04-01,936
2020-05-01,1039
2020-06-01,1266
2020-07-01,1526
2020-08-01,1396
2020-09-01,1473
2020-10-01,1543
2020-11-01,1543
2020-12-01,1614
2021-01-01,1624
2021-02-01,1398
2021-03-01,1688
2021-04-01,1489
2021-05-01,1600
2021-06-01,1664
2021-07-01,1600
2021-08-01,1596
2021-09-01,1576
2021-10-01,1587
2021-11-01,1707
2021-12-01,1711
2022-01-01,1693
2022-02-01,1730
2022-03-01,1700
2022-04-01,1807
2022-05-01,1546
2022-06-01,1556
2022-07-01,1382
2022-08-01,1532
2022-09-01,1481
2022-10-01,1446
2022-11-01,1434
2022-12-01,1296
2023-01-01,1358
2023-02-01,1395
2023-03-01,1366
2023-04-01,1343
2023-05-01,1609
2023-06-01,1420
2023-07-01,1464
2023-08-01,1321
2023-09-01,1369
2023-10-01,1380
2023-11-01,1522
2023-12-01,1504
2024-01-01,1378
2024-02-01,1555
2024-03-01,1297
2024-04-01,1379
2024-05-01,1329
2024-06-01,1318
2024-07-01,1269
2024-08-01,1394
2024-09-01,1357
2024-10-01,1370
2024-11-01,1300
2024-12-01,1494
2025-01-01,1353
2025-02-01,1491
2025-03-01,1346
2025-04-01,1400
2025-05-01,1289
2025-06-01,1379
2025-07-01,1432
2025-08-01,1291
2025-09-01,1319
2025-10-01,1273
2025-11-01,1319
2025-12-01,1378
2026-01-01,1385
2026-02-01,1346
2026-03-01,1522
2026-04-01,1414
2026-05-01,1199
2026-06-01,1427
