DATE,PAYEMS
2019-01-01,150060
2019-02-01,150067
2019-03-01,150295
2019-04-01,150591
2019-05-01,150618
2019-06-01,150838
2019-07-01,150937
2019-08-01,151169
2019-09-01,151365
2019-10-01,151460
2019-11-01,151667
2019-12-01,151794
2020-01-01,152031
2020-02-01,152293
2020-03-01,150895
2020-04-01,130426
2020-05-01,133040
2020-06-01,137671
2020-07-01,139255
2020-08-01,140821
2020-09-01,141770
2020-10-01,142460
2020-11-01,142733
2020-12-01,142548
2021-01-01,142863
2021-02-01,143380
2021-03-01,144232
2021-04-01,144587
2021-05-01,145065
2021-06-01,145820
2021-07-01,146762
2021-08-01,147314
2021-09-01,147771
2021-10-01,148572
2021-11-01,149230
2021-12-01,149816
2022-01-01,150006
2022-02-01,150825
2022-03-01,151315
2022-04-01,151623
2022-05-01,151924
2022-06-01,152358
2022-07-01,153072
2022-08-01,153362
2022-09-01,153582
2022-10-01,153939
2022-11-01,154242
2022-12-01,154342
2023-01-01,154776
2023-02-01,155066
2023-03-01,155134
2023-04-01,155375
2023-05-01,155655
2023-06-01,155880
2023-07-01,156043
2023-08-01,156261
2023-09-01,156417
2023-10-01,156576
2023-11-01,156703
2023-12-01,156857
2024-01-01,157032
2024-02-01,157238
2024-03-01,157466
2024-04-01,157530
2024-05-01,157608
2024-06-01,157695
2024-07-01,157748
2024-08-01,157757
2024-09-01,157912
2024-10-01,157945
2024-11-01,158079
2024-12-01,158316
2025-01-01,158268
2025-02-01,158310
2025-03-01,158377
2025-04-01,158485
2025-05-01,158498
2025-06-01,158478
2025-07-01,158542
2025-08-01,158472
2025-09-01,158548
2025-10-01,158408
2025-11-01,158449
2025-12-01,158432
2026-01-01,158592
2026-02-01,158436
2026-03-01,158650
2026-04-01,158798
2026-05-01,158927
2026-06-01,158984
