DATE,TOTALSA
2019-01-01,16.97
2019-02-01,16.962
2019-03-01,17.842
2019-04-01,16.968
2019-05-01,17.967
2019-06-01,17.781
2019-07-01,17.682
2019-08-01,17.882
2019-09-01,17.72
2019-10-01,17.049
2019-11-01,17.549
2019-12-01,17.491
2020-01-01,16.85
2020-02-01,17.13
2020-03-01,11.825
2020-04-01,8.919
2020-05-01,12.543
2020-06-01,13.532
2020-07-01,15.182
2020-08-01,16.09
2020-09-01,16.713
2020-10-01,16.564
2020-11-01,16.298
2020-12-01,16.906
2021-01-01,16.719
2021-02-01,16.146
2021-03-01,18.451
2021-04-01,18.574
2021-05-01,17.519
2021-06-01,16.056
2021-07-01,15.187
2021-08-01,13.874
2021-09-01,12.731
2021-10-01,13.156
2021-11-01,13.37
2021-12-01,13.123
2022-01-01,14.886
2022-02-01,14.198
2022-03-01,14.221
2022-04-01,14.615
2022-05-01,13.291
2022-06-01,13.821
2022-07-01,13.87
2022-08-01,14.184
2022-09-01,14.12
2022-10-01,15.099
2022-11-01,14.583
2022-12-01,13.874
2023-01-01,15.657
2023-02-01,15.47
2023-03-01,15.621
2023-04-01,16.41
2023-05-01,15.931
2023-06-01,16.606
2023-07-01,16.321
2023-08-01,16.071
2023-09-01,16.209
2023-10-01,15.738
2023-11-01,15.782
2023-12-01,16.321
2024-01-01,15.558
2024-02-01,16.255
2024-03-01,16.21
2024-04-01,16.458
2024-05-01,16.361
2024-06-01,15.79
2024-07-01,16.337
2024-08-01,15.978
2024-09-01,16.341
2024-10-01,16.493
2024-11-01,16.908
2024-12-01,17.301
2025-01-01,15.95
2025-02-01,16.419
2025-03-01,18.35
2025-04-01,17.583
2025-05-01,16.043
2025-06-01,16.282
2025-07-01,16.998
2025-08-01,16.9
2025-09-01,16.985
2025-10-01,15.845
2025-11-01,16.006
2025-12-01,16.4
2026-01-01,14.987
2026-02-01,15.881
2026-03-01,16.676
2026-04-01,16.588
2026-05-01,16.506
2026-06-01,16.949
